Episódio;Título;Descrição
Spin-off_18;“Só assisto legendado” X “Dublado é muito melhor!” – Será mesmo uma simples questão de preferência? — Deborah Cornélio e Dilma Machado;O trabalho do tradutor audiovisual especializado em legendagem ou dublagem é promover a acessibilidade de uma obra originalmente em língua estrangeira. Mas de que maneira essa ponte linguística pode ser feita? Existe uma forma melhor, mais fácil ou mais agradável para o espectador? Vamos ver juntos, nesta palestra, um panorama das duas modalidades e identificar a serviço de quem cada uma delas se coloca, através de pontos teóricos e exemplos comparativos de traduções das palestrantes e de colegas tradutores.
Spin-off_19;“Burnout” e o trabalho autônomo — Juliana Machado e Fernanda Oliveira;Como tem sido sua relação com o trabalho? Você sabe o que é a Síndrome de Burnout? Vamos juntos com as psicólogas Juliana Machado e Fernanda Oliveira, compreender como ela acontece, as estratégias de prevenção e as formas de cuidado.
Spin-off_20 1;Oficina: Word Avançado para tradutores 1 — Reginaldo Francisco;"- Como ganhar produtividade, qualidade e tempo para o café com uma ferramenta básica; - Tarefas repetitivas e maçantes que o Word pode fazer mais rápido e melhor que você; - Como agilizar a edição de textos longos; - Atalhos de teclado; - Usos avançados da função Localizar/Substituir; - Como diminuir seu ódio de tabelas."
Spin-off_20 2;Oficina: Word Avançado para tradutores 2 — Reginaldo Francisco;"- Como ganhar produtividade, qualidade e tempo para o café com uma ferramenta básica; - Tarefas repetitivas e maçantes que o Word pode fazer mais rápido e melhor que você; - Como agilizar a edição de textos longos; - Atalhos de teclado; - Usos avançados da função Localizar/Substituir; - Como diminuir seu ódio de tabelas."
Spin-off_21;Alquimistas da localização: Aventuras de ume equipe brasileira no LocJam Made in Italy;"""Vamos participar da Locjam?"" Esta frase levou à criação de um grupo bem diversificado de tradutores com experiências e competências diferentes e um objetivo em comum: participar do evento conhecido como ""Locjam Made in Italy"", que aconteceu no fim de 2023, com o objetivo de fazer a localização de um jogo a partir do italiano para o português brasileiro."
Spin-off_22;Wordscope + ChatGPT for Translators — Philippe Mercier;"AI is transforming the translation industry, offering you tools to boost productivity and streamline your workflow. In this webinar, we’ll explore how Wordscope, a sophisticated computer-assisted translation platform available on Mac and PC, seamlessly integrates with AI tools like DeepL and ChatGPT to help you work faster, more accurately, and with greater consistency.
In this session, you will:
• Discover how to receive translation suggestions from multiple MT engines for each segment, allowing you to choose the best contextual fit for your work.
• Explore how to access ChatGPT directly within Wordscope to research definitions, clarify scientific concepts, rephrase sentences, or review grammar and spelling—all without leaving your workspace. You’ll also see how ChatGPT can automatically proofread translations, ensuring they remain faithful to the original.
• Learn how trusted public terminology databases, integrated directly into Wordscope, are queried automatically to give you access to accurate terminology.
We’ll also show you how your private glossaries can be automatically connected to DeepL and ChatGPT to ensure they provide you with translation suggestions featuring accurate and consistent terminology throughout your work. 
Using all these new resources with your private Translation Memories will transform the way you work and improve your productivity, helping you deliver translations of the highest quality with enhanced speed and consistency.
Whether you’re a seasoned professional or exploring new ways to enhance your practice, this session offers an insightful look into the future of AI in the translation industry. Join us to discover how you can take control of AI and stay competitive in a fast-evolving field.
"
Spin-off_23;Novidades da Avellan — Lígia Sobral Fragano e Guilherme Gama;Resumo: Neste breve encontro, vamos compartilhar com a comunidade de tradução e legendagem as atualizações mais recentes da Avellan, a plataforma de legendagem automática da Little Brown Mouse. Também iremos introduzir a Avellan Translate, a nova ferramenta em desenvolvimento que amplia o suporte à pós-edição de traduções automáticas. Esperamos você para compartilhar essas novidades e trocar ideias. Nos vemos lá!
T101 + Phorte;O estudo da língua inglesa;Não tem descrição.
T101 + Phorte;A importância da formação do tradutor;Não tem descrição.
T101 + Phorte;Tradução Literária vs Tradução Editorial;Não tem descrição.
T101 + Phorte;O ensino da interpretação;Não tem descrição.
T101 + Phorte;Palavras que Cruzam Fronteiras: O Mundo da Interpretação de Conferências — Ana Julia Perrotti;Descubra o mundo dinâmico da interpretação de conferências! Explore o papel crucial dos intérpretes na comunicação global, aprenda sobre as técnicas utilizadas para garantir a compreensão fluida entre participantes de diferentes culturas e idiomas. Desvende os segredos das modalidades simultânea, consecutiva e sussurrada. Mergulhe em uma carreira empolgante e significativa no universo da interpretação de conferências. Não perca a oportunidade de se inspirar nessa fascinante área que une idiomas, cultura e comunicação global.
T101+PUC-Rio;Mesa da interpretação;A PUC-Rio e a Translators101 apresentam duas mesas com profissionais que falarão sobre o mercado e boas práticas de tradução e interpretação.
T101+PUC-Rio;Mesa da tradução;A PUC-Rio e a Translators101 apresentam duas mesas com profissionais que falarão sobre o mercado e boas práticas de tradução e interpretação.
T101+Quijote;Interpretação Espanhol <> Português e a Tecnologia! — Marcelo Andreoti;Nesse encontro, teremos um diálogo sobre os caminhos que a interpretação está encontrando em um mundo pós-pandemia. O que um mercado dominado por Inteligência Artificial, Internet das Coisas, Aprendizado da Máquinas e tantas novas nomenclaturas como Wearables, B2B, SaaS e muito mais, busca nesses novos profissionais que devem oferecer soluções linguísticas?
T101+TRADUSA;Tradução Médica: muito mais que traduzir bulas — Ana Julia Perrotti;Nesta palestra, você descobrirá com Ana Julia quais são os primeiros passos para entrar num mercado que vem crescendo a cada dia: a tradução de textos da área da saúde. E também sobre as diferentes áreas de atuação, quais os principais requisitos e os caminhos para a profissionalização e aprimoramento profissional.
Terça-feira da Cultura;Terça-feira da Cultura I — Isa Mara Lando;Isa conversará por uma hora sobre músicas, filmes e livros. A ideia é aprimorar nosso repertório cultural, com material selecionado.
Terça-feira da Cultura;Terça-feira da Cultura II — Isa Mara Lando;Mais uma nova atividade que passa a fazer parte do que oferecemos na Translators101: Terça-feira da Cultura, com Isa Mara Lando! Isa conversará por uma hora sobre duas músicas, um filme e um livro. A ideia é aprimorar nosso repertório cultural.
Terça-feira da cultura;Terça-feira da Cultura III — Isa Mara Lando;Mais uma nova atividade que passa a fazer parte do que oferecemos na Translators101: Terça-feira da Cultura, com Isa Mara Lando! Isa conversará por uma hora sobre duas músicas, um filme e um livro. A ideia é aprimorar nosso repertório cultural.
Terça-feira da cultura;Terça-feira da Cultura IV — Isa Mara Lando;Mais uma nova atividade que passa a fazer parte do que oferecemos na Translators101: Terça-feira da Cultura, com Isa Mara Lando! Isa conversará por uma hora sobre duas músicas, um filme e um livro. A ideia é aprimorar nosso repertório cultural.
Terça-feira da cultura;Terça-feira da Cultura V — Isa Mara Lando;Mais uma nova atividade que passa a fazer parte do que oferecemos na Translators101: Terça-feira da Cultura, com Isa Mara Lando! Isa conversará por uma hora sobre duas músicas, um filme e um livro. A ideia é aprimorar nosso repertório cultural.
TRADUSA;Assisti House. Estou pronto para traduzir;Não tem descrição.
Especial ITD 2023;Golpes: é possível se prevenir? — Francine Oliveira;A internet, e em especial as redes sociais, trouxeram diversas facilidades para profissionais do texto. Com isso, no entanto, vieram também as tentativas de golpes. Diariamente, deparamo-nos com um excesso de informações, mensagens, e-mails, propostas e, muitas vezes, não conseguimos discernir se a empresa ou o profissional que está nos contratando é quem de fato afirma ser ou se estamos diante de alguém que quer tirar nosso dinheiro – ou, ainda, obter nossos dados. Algumas técnicas e ferramentas podem nos ajudar a identificar que algo está errado e, nesta palestra, irei falar sobre algumas delas.
Especial ITD 2023;Tradução X Versão Brasileira: diferenças e importância do seu texto no dia a dia dos profissionais de dublagem — Leo Pinheiro;"É certo que se chegou até aqui (no mercado de trabalho) você tem ótimo conhecimento do idioma que traduz para o português - e, é claro, de nossa língua mátria.
Porém, o que destaca seu texto para os dubladores, diretores de dublagem, e público em geral? E como você pode melhorar suas traduções, para torná-las excelentes versões brasileiras, e se distinguir dos seus concorrentes?
Nesta palestra, vou responder essas questões… E tudo mais que você sempre quis saber sobre como a tradução de produtos audiovisuais é tratada dentro de um estúdio de dublagem, e nunca teve chance de perguntar."
